65.62,0.34229,1188,139.83,5.8062,380.24,1.6899,0.66955
65.544,0.33615,1177.9,138.45,5.9331,371,1.669,0.65892
63.96,0.34076,1180.9,141.82,5.866,376.71,1.6662,0.66836
65.256,0.34045,1193.4,139.98,6.0007,376.47,1.6961,0.66583
64.48,0.33833,1180,139.83,5.9189,365.88,1.6904,0.66157
64.354,0.33913,1196.4,141.37,5.9582,362.46,1.7324,0.66221
65.587,0.33771,1192,139.91,6.0907,364.47,1.6999,0.66439
66.933,0.34255,1174,139.86,6.0228,375.86,1.6743,0.67388
65.328,0.33754,1185.4,140.22,6.0079,366.48,1.6714,0.67038
65.384,0.34012,1192.5,138.63,6.0063,367.3,1.6884,0.66452
65.893,0.34249,1173.6,140.78,6.0473,368.69,1.6891,0.66187
63.323,0.33906,1199.2,140.74,5.9284,367.24,1.6876,0.67161
65.824,0.33763,1190.5,140.7,5.9516,372.77,1.6574,0.66468
66.224,0.34079,1197.7,140.07,6.0784,375,1.6888,0.65867
65.135,0.34332,1188.5,139.44,5.8589,374.02,1.6802,0.66415
65.13,0.34351,1182.8,142.41,5.9783,376.1,1.6847,0.66626
65.029,0.33654,1183.7,141.67,5.9622,367.05,1.6802,0.65938
65.122,0.33822,1183.8,140.13,6.0242,370.03,1.6762,0.68083
65.462,0.34455,1187.6,140.04,5.9282,364.96,1.6762,0.66571
65.037,0.33908,1173.8,138.16,6.0014,372.15,1.6884,0.67646
65.199,0.3395,1189.9,139.24,5.9384,371.3,1.6525,0.67786
64.535,0.34397,1177.4,139.56,5.9284,370.34,1.7214,0.67446
64.473,0.34005,1183.2,142.42,6.1548,373.88,1.6888,0.68022
66.146,0.33902,1192.8,140.29,6.0052,369.95,1.7161,0.66308
65.715,0.33827,1182.9,137.18,5.9509,371.78,1.6718,0.6663
64.865,0.33858,1177.6,140.51,5.9859,374.47,1.6761,0.65182
65.128,0.33952,1183.6,143.71,5.8986,373.39,1.6657,0.65793
65.965,0.33985,1176.5,140.17,6.0249,366.88,1.7096,0.67451
63.771,0.34051,1179.3,141.44,6.015,371.36,1.6985,0.67091
65.5,0.34283,1176.6,139.77,5.972,368.84,1.7213,0.6774
64.772,0.33911,1202.4,137.95,5.9815,373.7,1.6856,0.66941
64.634,0.3394,1175.9,139.47,6.1422,374.53,1.7052,0.67337
65.467,0.33705,1178.6,139.37,5.9516,374.42,1.7159,0.67325
65.469,0.34497,1174,140.1,6.0848,370.44,1.6717,0.67047
65.698,0.34213,1179,139.26,5.9775,371.65,1.6823,0.65255
65.488,0.3413,1209.9,137.92,6.0431,370.07,1.6825,0.6629
66.129,0.34469,1196,141.88,5.9525,369.2,1.6908,0.67486
64.402,0.34263,1194.8,140.28,6.0506,373.83,1.688,0.67423
65.512,0.33625,1166.5,139.78,5.962,375.07,1.6852,0.66967
64.637,0.33874,1186,139.7,6.0555,369.92,1.6893,0.66653
65.76,0.33928,1178.2,140.69,5.9906,372.2,1.6803,0.65989
65.225,0.33708,1169.7,140.45,5.8946,365.7,1.6772,0.66661
65.696,0.3415,1163.8,139.31,6.0412,371.78,1.6724,0.66978
65.044,0.33345,1192.5,138.72,5.9683,369.14,1.6735,0.66394
64.336,0.34317,1174,141.17,6.0286,368.58,1.6811,0.66629
65.017,0.33884,1214.4,139.88,6.0797,375.64,1.6729,0.66996
65.924,0.33641,1179.9,140.22,6.0043,368.92,1.6963,0.67052
64.992,0.33825,1199.8,140.22,5.9846,372.87,1.6691,0.66927
64.812,0.34108,1214.2,141.16,5.9707,366.2,1.6557,0.67449
65.893,0.33639,1189,139.21,6.0041,369.88,1.6554,0.66687
65.951,0.33599,1195.5,139.33,6.0921,370.65,1.6613,0.65372
65.675,0.34366,1212.1,143.04,6.0134,376.7,1.6777,0.66889
63.84,0.34136,1200.8,140.38,5.9941,371.45,1.6792,0.66118
64.949,0.33496,1196.4,141.03,5.9377,370.75,1.6752,0.67086
65.51,0.34,1190.3,140.04,6.0072,367.72,1.6902,0.66181
64.053,0.33515,1166.7,139.82,5.8998,371.77,1.6589,0.67673
65.408,0.34264,1192.1,138.22,5.9745,376.22,1.6941,0.66669
65.39,0.33666,1176.4,139.38,5.9026,365.33,1.6802,0.67324
65.601,0.33581,1185.9,139.53,5.9364,367.59,1.6955,0.66126
65.702,0.34292,1171.3,139.63,6.0053,371.11,1.7052,0.66879
65.592,0.33839,1194.8,140.64,6.0046,369.87,1.6552,0.66052
64.731,0.34521,1175.5,141.45,6.008,372.18,1.6818,0.67204
66.34,0.3354,1188.9,140.49,5.9664,376.18,1.7034,0.66029
65.046,0.34166,1181.8,139.64,5.9649,372.52,1.6884,0.67095
64.762,0.34017,1183.7,143.46,5.986,369.08,1.6554,0.66015
65.672,0.34656,1201.3,139.76,5.9956,374.81,1.6849,0.67957
65.732,0.33781,1183.5,140.64,5.9344,369.25,1.6811,0.66605
65.406,0.3392,1199.1,142.13,5.9951,371.46,1.7019,0.66807
65.16,0.33877,1181.9,142.04,6.0313,370.06,1.6899,0.66901
65.248,0.3424,1189.4,139.97,6.065,378.03,1.6546,0.6594
64.271,0.3415,1182.2,139.33,5.9654,371.99,1.6879,0.66338
63.954,0.3398,1187.3,141.04,6.0352,368.89,1.6862,0.67237
65.132,0.3364,1186.2,139.96,6.0465,365.12,1.6782,0.67561
65.505,0.33995,1182.1,141.27,5.8956,363.71,1.6751,0.67432
66.4,0.33989,1179.1,140.47,6.0843,375.89,1.6452,0.6704
64.656,0.34296,1175.9,140.74,5.9714,372.26,1.6808,0.6801
65.58,0.34065,1176.7,139.37,5.9289,367.91,1.7017,0.67418
65.42,0.34079,1189.8,142.25,5.979,369.08,1.6705,0.66486
64.695,0.33705,1184.8,137.75,6.1316,369.85,1.6805,0.66983
